ID,English,词性,日文释义,中文翻译,英文例句,例句日文,例句中文,熟语/搭配,重要度,复习次数,错误次数,出现频率,反义词,反义词日语翻译,近义词,近义词日语翻译
289,several,形容词,数人の；いくつかの,几个的；若干的,I visited Kyoto several times.,私は京都を数回訪れました。,我去过京都好几次。,several times,A,0,0,A,single,一つの,some; a few,いくつかの；数個の
290,unusual,形容词,異常な；普通でない,异常的；不寻常的,We had unusual weather this spring.,今年の春は変わった天気でした。,今年春天天气很异常。,unusual weather,A,0,0,A,usual; common,普通の；普通の,strange; uncommon,変わった；珍しい
291,common,形容词,共通の；普通の,共同的；常见的,English is a common language in many countries.,英語は多くの国で共通語です。,英语是许多国家的通用语言。,common language,A,0,0,A,rare; unusual,珍しい；普通でない,usual; ordinary,普通の；一般的な
292,friendly,形容词,友好的な；人なつっこい,友好的；亲切的,Our new teacher is very friendly.,新しい先生はとても親しみやすいです。,我们的新老师很友好。,a friendly relationship,A,0,0,A,not friendly,不親切な,kind; nice,親切な；友好的な
293,possible,形容词,可能な；あり得る,可能的,Please come as soon as possible.,できるだけ早く来てください。,请尽快来。,as soon as possible,A,0,0,A,impossible,不可能な,able to happen; likely,可能な；起こりうる
294,bright,形容词,明るい；利口な,明亮的；聪明的,The room is bright in the morning.,その部屋は朝明るいです。,那个房间早上很明亮。,a bright future,A,0,0,A,dark; dull,暗い；鈍い,light; smart,明るい；賢い
295,comfortable,形容词,快適な,舒适的,This chair is very comfortable.,この椅子はとても座り心地がよいです。,这把椅子很舒服。,a comfortable seat,A,0,0,A,uncomfortable,不快な,relaxing; pleasant,快適な；心地よい
296,delicious,形容词,おいしい,美味的,The curry was delicious.,そのカレーはおいしかったです。,咖喱很好吃。,a delicious meal,A,0,0,A,tasteless; awful,味のない；ひどい,tasty; good,おいしい；うまい
297,likely,形容词,〜しそうである；ありそうな,可能的；有可能的,It is likely to snow tonight.,今夜は雪が降りそうです。,今晚可能会下雪。,be likely to do,A,0,0,A,not likely,ありそうにない,probable; possible,ありそうな；可能性が高い
298,past,形容词/名词,過去の；過去,过去的；过去,I learned a lot from my past mistakes.,私は過去の失敗から多くを学びました。,我从过去的错误中学到了很多。,for the past year,A,0,0,A,future,未来の,former; old,過去の；以前の
299,wild,形容词,野生の；荒れ果てた；乱暴な,野生的；狂野的,We saw wild birds near the lake.,私たちは湖の近くで野鳥を見ました。,我们在湖边看到了野鸟。,wild animals,A,0,0,A,tame,飼いならされた,not tame; natural,野生の；自然の
300,careful,形容词,注意深い,小心的；仔细的,Be careful when you cross the street.,道を渡るときは気をつけなさい。,过马路时要小心。,be careful not to do,A,0,0,A,careless,不注意な,cautious; thoughtful,注意深い；慎重な
301,cheap,形容词,安い,便宜的,I bought a cheap camera online.,私はネットで安いカメラを買いました。,我在网上买了一台便宜的相机。,a cheap camera,A,0,0,A,expensive,高価な,low-priced; inexpensive,安い；低価格の
302,empty,形容词,空の,空的,The bottle is empty.,その瓶は空です。,瓶子是空的。,an empty bottle,A,0,0,A,full,いっぱいの,blank; without anything,空の；何もない
303,extra,形容词,追加の；余分の,额外的；多余的,We need an extra chair for the guest.,お客さんのために余分な椅子が必要です。,我们需要一把额外的椅子给客人。,an extra charge,A,0,0,A,necessary,必要な,additional; more,余分の；追加の
304,familiar,形容词,精通して；よく知られた,熟悉的；精通的,This song is familiar to many people.,この歌は多くの人によく知られています。,这首歌为很多人所熟悉。,be familiar with,A,0,0,A,not familiar,慣れていない,well-known; common,よく知られた；なじみのある
305,lonely,形容词,寂しい,孤独的；寂寞的,She felt lonely after moving to a new city.,新しい町に引っ越した後、彼女は寂しく感じました。,搬到新城市后她感到孤独。,a lonely life,A,0,0,A,social; accompanied,社会的な；付き添われた,alone; sad,一人ぼっちの；寂しい
306,loud,形容词,大声の；派手な,响亮的；大声的,Please don't speak in a loud voice here.,ここでは大声で話さないでください。,请不要在这里大声说话。,in a loud voice,A,0,0,A,quiet,静かな,noisy; strong,大きな音の；騒がしい
307,main,形容词,主な,主要的,The main reason is simple.,主な理由は簡単です。,主要原因很简单。,main reason,A,0,0,A,minor,小さな,chief; principal,主な；主要な
308,nearby,形容词/副词,近くの；近くに,附近的；在附近,There is a nearby supermarket.,近くにスーパーがあります。,附近有一家超市。,a nearby shop,A,0,0,A,far,遠い,close; near,近くの；近くに
309,necessary,形容词,必要な,必要的,Sleep is necessary for good health.,睡眠は健康に必要です。,睡眠对健康是必要的。,absolutely necessary,A,0,0,A,not necessary,必要でない,needed; required,必要な；求められる
310,official,形容词,公式の；正式の；職務上の,官方的；正式的,The school made an official announcement.,学校は公式発表をしました。,学校发布了正式通知。,official record,A,0,0,A,not official,公式でない,formal; public,公式の；正式な
311,ordinary,形容词,普通の；並の,普通的；平常的,It was an ordinary day.,それは普通の日でした。,那是普通的一天。,ordinary life,A,0,0,A,special; unusual,特別な；普通でない,usual; common,普通の；一般的な
312,private,形容词,個人的な；私立の；私的な,私人的；私立的,This is my private room.,これは私の個室です。,这是我的私人房间。,private lesson,A,0,0,A,public,公の,personal; not public,個人の；非公開の
313,quiet,形容词,静かな,安静的,The library is quiet.,図書館は静かです。,图书馆很安静。,be quiet,A,0,0,A,noisy; loud,うるさい；大きな音の,silent; calm,静かな；落ち着いた
314,similar,形容词,類似した,相似的,Your bag is similar to mine.,あなたのかばんは私のものに似ています。,你的包和我的相似。,similar to,A,0,0,A,different,異なる,alike; like,似ている；同様の
315,afraid,形容词,心配して；怖がって,害怕的；担心的,I'm afraid of big dogs.,私は大きな犬が怖いです。,我害怕大狗。,be afraid of,A,0,0,A,brave; fearless,勇敢な；恐れない,scared; frightened,怖がっている；恐れている
316,ancient,形容词,古代の；古来の,古代的,We studied ancient history at school.,私たちは学校で古代史を学びました。,我们在学校学习了古代历史。,ancient civilization,A,0,0,A,modern,現代の,old; very old,古代の；とても古い
317,certain,形容词,確信して；ある,确定的；某些的,I am certain that he will come.,彼が来ると私は確信しています。,我确信他会来。,certain groups,A,0,0,A,uncertain,不確かな,sure; fixed,確かな；決まった
318,final,形容词,最後の,最后的,This is the final question.,これは最後の質問です。,这是最后一个问题。,final chance,A,0,0,A,first; initial,最初の；初めの,last; ending,最後の；終わりの
319,honest,形容词,正直な,诚实的,He is an honest person.,彼は正直な人です。,他是一个诚实的人。,to be honest,A,0,0,A,dishonest,不正直な,truthful; fair,正直な；公正な
320,nervous,形容词,緊張している；神経質な,紧张的；神经质的,I was nervous before the speech.,スピーチの前に私は緊張していました。,演讲前我很紧张。,get nervous,A,0,0,A,calm,落ち着いた,worried; uneasy,緊張した；不安な
321,normal,形容词,普通の；標準の,正常的；普通的,His temperature is normal.,彼の体温は正常です。,他的体温正常。,normal way,A,0,0,A,abnormal; unusual,異常な；普通でない,usual; regular,普通の；通常の
322,portable,形容词,携帯できる,便携的,I bought a portable charger for my phone.,私は携帯電話用の携帯充電器を買いました。,我买了一个手机便携充电器。,portable charger,A,0,0,A,fixed,固定された,easy to carry,持ち運びできる
323,public,形容词,公共の；公立の,公共的；公立的,Please use a public phone in an emergency.,緊急時には公衆電話を使ってください。,紧急时请使用公用电话。,public phone,A,0,0,A,private,私的な,open; common,公共の；公開の
324,recent,形容词,最近の,最近的,"In recent years, this town has changed a lot.",近年、この町は大きく変わりました。,近年来这个城镇变化很大。,in recent years,A,0,0,A,old,古い,new; latest,最近の；最新の
325,successful,形容词,成功した,成功的,She became a successful businesswoman.,彼女は成功した実業家になりました。,她成了一位成功的女企业家。,successful businessman,A,0,0,A,fail; failed,失敗する；失敗した,good; done well,成功した；うまくいった
326,arctic,形容词,北極の,北极的,The arctic wind was very cold.,北極の風はとても冷たかったです。,北极的风非常寒冷。,arctic explorer,A,0,0,A,hot,暑い,very cold; polar,非常に寒い；北極の
327,asleep,形容词,眠って,睡着的,The baby fell asleep quickly.,赤ちゃんはすぐに眠りました。,婴儿很快睡着了。,fall asleep,A,0,0,A,awake,起きている,sleeping,眠っている
328,boring,形容词,退屈な,无聊的,The movie was boring.,その映画は退屈でした。,那部电影很无聊。,a boring program,A,0,0,A,interesting; exciting,おもしろい；わくわくする,not interesting; dull,面白くない；退屈な
329,calm,形容词,落ち着いた,冷静的；平静的,Stay calm and listen carefully.,落ち着いてよく聞きなさい。,保持冷静并仔细听。,stay calm,A,0,0,A,nervous; excited,緊張した；興奮した,quiet; peaceful,落ち着いた；穏やかな
330,clear,形容词,はっきりした；晴れた；澄んだ,清楚的；晴朗的,She gave me a clear answer.,彼女は私にはっきりした答えをくれました。,她给了我明确的回答。,clear answer,A,0,0,A,unclear; cloudy,不明確な；曇った,easy to see; obvious,明らかな；はっきりした
331,convenient,形容词,便利な,方便的,This app is convenient for studying English.,このアプリは英語学習に便利です。,这个应用学英语很方便。,a convenient tool,A,0,0,A,inconvenient,不便な,useful; easy,便利な；使いやすい
332,correct,形容词,正しい；適切な,正确的；合适的,Please choose the correct answer.,正しい答えを選んでください。,请选择正确答案。,correct answer,A,0,0,A,not right; incorrect,正しくない；間違った,right; true,正しい；正確な
333,cute,形容词,かわいい,可爱的,That puppy is very cute.,その子犬はとてもかわいいです。,那只小狗非常可爱。,a cute baby,A,0,0,A,ugly,醜い,pretty; lovely,かわいい；愛らしい
334,however,副词,しかしながら；どんなに〜でも,然而；不过,"I studied hard. However, I failed the test.",私は一生懸命勉強しました。しかし、試験に落ちました。,我努力学习了。然而，我考试没通过。,however hard,A,0,0,A,,,but; yet,しかし；けれども
335,even,副词,〜でさえ；さらに,甚至；连……也,Even my brother knows the answer.,私の弟でさえその答えを知っています。,连我弟弟都知道答案。,even today,A,0,0,A,,,also; still,〜でさえ；それでも
336,later,副词,後で；もっと遅く,之后；稍后,I will call you later.,後であなたに電話します。,我稍后给你打电话。,three years later,A,0,0,A,,,afterward; soon after,後で；あとで
337,instead,副词,その代わりに,代替；反而,I used a pencil instead of a pen.,私はペンの代わりに鉛筆を使いました。,我用铅笔代替了钢笔。,instead of,A,0,0,A,,,rather; in place of,代わりに；むしろ
338,quickly,副词,すぐに；急いで,迅速地；很快地,She answered the question quickly.,彼女はその質問にすばやく答えました。,她很快回答了问题。,answer quickly,A,0,0,A,,,fast; rapidly,速く；急いで
339,yet,副词,もう；まだ,已经；还；尚未,Have you finished your homework yet?,もう宿題は終わりましたか。,你作业已经做完了吗？,not yet,A,0,0,A,,,still; already,まだ；もう
340,actually,副词,実際に；本当のところ,实际上；其实,"Actually, I have never been there.",実は、私はそこに行ったことがありません。,其实我从没去过那里。,actually happen,A,0,0,A,,,really; in fact,実は；実際に
341,recently,副词,最近；近ごろ,最近,I recently started learning Japanese.,私は最近日本語を学び始めました。,我最近开始学习日语。,recently started,A,0,0,A,,,lately; not long ago,最近；このごろ
342,though,副词/连词,でも；やっぱり；だけれども,不过；虽然,"It was cold, but I enjoyed the trip though.",寒かったですが、それでも旅行を楽しみました。,天气很冷，不过我还是享受了旅行。,even though,A,0,0,A,,,however; but,しかし；けれども
343,far,副词,遠くに；はるかに,远；远远地,My school is far from here.,私の学校はここから遠いです。,我的学校离这里很远。,far from,A,0,0,A,,,distantly; much,遠くに；ずっと
344,outside,副词/名词,外に；外側,外面；在外面,The children played outside after lunch.,子どもたちは昼食後に外で遊びました。,孩子们午饭后在外面玩。,outside the house,A,0,0,A,,,out; outdoors,外に；屋外で
345,almost,副词,ほとんど；もう少しで,几乎；差点,I almost missed the train.,私はもう少しで電車に乗り遅れるところでした。,我差点错过火车。,almost all,A,0,0,A,,,nearly; about,ほとんど；もう少しで
346,else,副词,その他に；代わりに,其他；另外,Do you need anything else?,他に何か必要ですか。,你还需要其他东西吗？,anything else,A,0,0,A,,,other; different,ほかの；別の
347,probably,副词,たぶん,大概；可能,He will probably come tomorrow.,彼はたぶん明日来るでしょう。,他大概明天会来。,probably come,A,0,0,A,,,maybe; likely,たぶん；おそらく
348,finally,副词,ついに；最後に,终于；最后,"Finally, we reached the top of the mountain.",ついに私たちは山頂に着きました。,终于，我们到达了山顶。,finally reach,A,0,0,A,,,at last; in the end,ついに；最後に
349,luckily,副词,運良く,幸运地,"Luckily, nobody was hurt.",幸いにも、誰もけがをしませんでした。,幸运的是，没有人受伤。,luckily win,A,0,0,A,,,fortunately,幸運にも
350,nearly,副词,ほとんど；もう少しで,几乎；差不多,The box is nearly empty.,その箱はほとんど空です。,那个盒子几乎空了。,nearly all,A,0,0,A,,,almost; about,ほとんど；およそ
351,sometime,副词,いつか；ある時,某个时候；改天,Let's meet sometime next week.,来週のいつか会いましょう。,我们下周找个时间见面吧。,sometime in the future,A,0,0,A,,,one day; at some time,いつか；ある時
352,inside,副词/名词,中に；内側に,在里面；里面,Please stay inside during the storm.,嵐の間は中にいてください。,暴风雨期间请待在室内。,stay inside,A,0,0,A,,,within; indoors,中に；屋内で
353,once,副词,一度；かつて,一次；曾经,I have visited Nara once.,私は奈良を一度訪れたことがあります。,我去过奈良一次。,once a week,A,0,0,A,,,one time; before,一度；かつて
354,pretty,副词/形容词,なかなか；かわいらしい,相当；漂亮的,This soup tastes pretty good.,このスープはなかなかおいしいです。,这个汤相当好喝。,pretty good,A,0,0,A,ugly,醜い,quite; rather,かなり；相当
355,afterward,副词,後で,后来；之后,We had lunch and went shopping afterward.,私たちは昼食を食べ、その後買い物に行きました。,我们吃了午饭，之后去购物了。,afterward,A,0,0,A,,,later; after that,その後；後で
356,anymore,副词,これ以上；もう〜ない,再也；不再,I don't live there anymore.,私はもうそこには住んでいません。,我已经不住在那里了。,not anymore,A,0,0,A,,,no longer,もはや〜ない
357,easily,副词,気楽に；たやすく；簡単に,轻松地；容易地,He solved the puzzle easily.,彼はそのパズルを簡単に解きました。,他轻松解开了谜题。,easily solve,A,0,0,A,,,without difficulty; simply,簡単に；楽に
358,moreover,副词,その上,而且；此外,"It was cold; moreover, it started to rain.",寒かったうえに、雨が降り始めました。,天气很冷，而且开始下雨了。,moreover,A,0,0,A,,,besides; also,さらに；その上
359,quite,副词,とても；かなり；全く,很；相当；完全,This question is quite difficult.,この問題はかなり難しいです。,这个问题相当难。,quite difficult,A,0,0,A,,,very; rather,とても；かなり
360,regularly,副词,定期的に；規則正しく,定期地；有规律地,I exercise regularly to stay healthy.,私は健康を保つために定期的に運動します。,我为了保持健康定期运动。,regularly exercise,A,0,0,A,,,often; at fixed times,定期的に；規則的に
361,twice,副词,2回；2度,两次,I brush my teeth twice a day.,私は一日に二回歯を磨きます。,我一天刷两次牙。,twice a day,A,0,0,A,,,two times,二回
362,ahead,副词,前方に；前もって,在前面；提前,Please go ahead without me.,私を待たずに先に行ってください。,请不用等我，先走吧。,go ahead,A,0,0,A,,,in front; before,前に；先に
363,completely,副词,完全に,完全地,The building was completely destroyed.,その建物は完全に破壊されました。,那栋建筑被完全破坏了。,completely destroyed,A,0,0,A,,,totally; fully,完全に；すっかり
364,gradually,副词,徐々に,逐渐地,The weather gradually became warmer.,天気は徐々に暖かくなりました。,天气逐渐变暖了。,gradually become,A,0,0,A,,,slowly; little by little,少しずつ；徐々に
365,while,连词/名词,〜している間に；〜ではあるが；短い期間,在……期间；虽然；一会儿,Please wait here while I buy tickets.,私が切符を買う間、ここで待ってください。,我买票的时候请在这里等。,while I am away,A,0,0,A,,,,
366,although,连词,〜だけれども,虽然；尽管,"Although it was raining, we went out.",雨が降っていましたが、私たちは外出しました。,虽然下雨了，但我们还是出门了。,although I'm busy,A,0,0,A,,,,
367,through,介词,〜を通って；〜を通じて；〜中ずっと,穿过；通过；整个期间,We walked through the tunnel.,私たちはトンネルを通って歩きました。,我们穿过了隧道。,through the tunnel,A,0,0,A,,,,
368,against,介词,〜に反対して；〜を対戦相手として,反对；对抗,Are you for or against this plan?,あなたはこの計画に賛成ですか、反対ですか。,你赞成还是反对这个计划？,against the plan,A,0,0,A,,,,
369,below,介词/副词,〜より下に；下に,在……下面；低于,The temperature fell below zero.,気温は零度より下がりました。,气温降到了零度以下。,below zero,A,0,0,A,,,under; lower,下に；下の方に
370,behind,介词/副词,〜の後ろに；後ろに,在……后面,The cat is behind the door.,猫はドアの後ろにいます。,猫在门后面。,behind the line,A,0,0,A,,,at the back; after,後ろに；遅れて
371,throughout,介词/副词,〜の間ずっと；〜の至るところに,整个期间；遍及,It rained throughout the night.,夜通し雨が降りました。,整夜都在下雨。,throughout the summer,A,0,0,A,,,all through; everywhere in,〜中ずっと；至る所に
372,unlike,介词,〜と異なって；〜らしくない,不像；与……不同,"Unlike his brother, he is very quiet.",兄とは違って、彼はとても静かです。,与哥哥不同，他很安静。,unlike the usual case,A,0,0,A,,,,
373,within,介词,〜以内で；〜に,在……以内,Please finish this work within an hour.,この仕事を一時間以内に終えてください。,请在一小时内完成这项工作。,within half an hour,A,0,0,A,,,,
0374,accept,动词,受け入れる,接受,Please accept my apology.,私の謝罪を受け入れてください。,请接受我的道歉。,accept an offer,B,0,0,B,reject; refuse,拒否する；断る,receive; agree to,受け取る；受け入れる
0375,aim,动词,狙う；目指す,瞄准；以……为目标,She aims to become a doctor.,彼女は医者になることを目指している。,她的目标是成为医生。,aim at / aim to do,B,0,0,B,miss,見逃す,try; target,目指す；狙う
0376,collect,动词,集める,收集,He collects old coins.,彼は古い硬貨を集めている。,他收集旧硬币。,collect stamps,B,0,0,B,spread out; hand out,広げる；配る,gather; bring together,集める；収集する
0377,control,动词,管理する；制御する,控制；管理,It is hard to control the machine.,その機械を制御するのは難しい。,控制那台机器很难。,control quality,B,0,0,B,release; free,解放する；自由な,manage; rule,管理する；支配する
0378,deliver,动词,配達する,投递；送达,They deliver packages every morning.,彼らは毎朝荷物を配達する。,他们每天早上送包裹。,deliver newspapers,B,0,0,B,keep; hold back,保つ；抑える,bring; send,届ける；送る
0379,develop,动词,開発する；発達させる,开发；发展,The company developed a new app.,その会社は新しいアプリを開発した。,那家公司开发了一个新应用。,develop a product,B,0,0,B,decline; shrink,減少する；縮む,grow; improve,発展する；開発する
0380,disappear,动词,姿を消す；消える,消失,The moon disappeared behind the clouds.,月は雲の後ろに消えた。,月亮消失在云后。,disappear suddenly,B,0,0,B,appear,現れる,vanish; go away,消える；なくなる
0381,disappoint,动词,失望させる,使失望,The result disappointed many fans.,その結果は多くのファンを失望させた。,这个结果让许多粉丝失望。,be disappointed with,B,0,0,B,satisfy; please,満足させる；喜ばせる,let down; make sad,失望させる；がっかりさせる
0382,dislike,动词,嫌う,不喜欢；讨厌,I dislike waiting in long lines.,私は長い列で待つのが嫌いだ。,我不喜欢排长队。,dislike doing,B,0,0,B,like,好む,hate; not like,嫌う；好きではない
0383,explain,动词,説明する,说明；解释,Can you explain the rule to me?,そのルールを私に説明してくれますか。,你能给我解释一下规则吗？,explain A to B,B,0,0,B,confuse,混乱させる,tell; make clear,説明する；明らかにする
0384,fight,动词,戦う,战斗；争吵,They fought against the enemy.,彼らは敵と戦った。,他们与敌人战斗。,fight against,B,0,0,B,surrender; agree,降参する；同意する,battle; argue,戦う；口論する
0385,film,动词,撮影する,拍摄,We filmed a short movie at school.,私たちは学校で短い映画を撮影した。,我们在学校拍了一部短片。,film a movie,B,0,0,B,—,—,record; shoot,撮影する；録画する
0386,gather,动词,集まる；集める,聚集；收集,People gathered in the park.,人々は公園に集まった。,人们聚集在公园里。,gather information,B,0,0,B,spread out; scatter,広げる；散らす,collect; meet,集める；集まる
0387,hang,动词,つるす；掛ける,悬挂；挂,Please hang your coat here.,ここにコートを掛けてください。,请把外套挂在这里。,hang a picture,B,0,0,B,take down,下ろす,put up; suspend,掛ける；つるす
0388,hide,动词,隠す；隠れる,隐藏,The cat hid under the table.,猫はテーブルの下に隠れた。,猫藏在桌子下面。,hide behind,B,0,0,B,show; reveal,見せる；明らかにする,cover; keep secret,隠す；秘密にする
0389,hit,动词,打つ；ぶつかる,打；击中,The ball hit the window.,ボールが窓に当たった。,球击中了窗户。,hit a ball,B,0,0,B,miss,見逃す,strike; beat,打つ；たたく
0390,imagine,动词,想像する,想象,Imagine a world without cars.,車のない世界を想像してみて。,想象一个没有汽车的世界。,imagine doing,B,0,0,B,—,—,picture; think of,想像する；思い浮かべる
0391,invent,动词,発明する,发明,Who invented this machine?,誰がこの機械を発明したのですか。,是谁发明了这台机器？,invent a machine,B,0,0,B,copy; imitate,コピーする；まねる,create; make,発明する；作る
0392,limit,动词,制限する,限制,We should limit the use of plastic bags.,私たちはビニール袋の使用を制限すべきだ。,我们应该限制塑料袋的使用。,limit the number,B,0,0,B,expand; extend,広げる；伸ばす,control; reduce,制限する；減らす
0393,melt,动词,溶ける；溶かす,融化,The snow began to melt.,雪が溶け始めた。,雪开始融化。,melt quickly,B,0,0,B,freeze,凍る,become liquid,溶ける
0394,notice,动词,気づく,注意到,I noticed a serious mistake.,私は重大な間違いに気づいた。,我注意到了一个严重错误。,notice an error,B,0,0,B,ignore; miss,無視する；見逃す,see; realize,気づく；分かる
0395,organize,动词,準備する；組織する,组织；安排,We organized a meeting after school.,私たちは放課後に会議を準備した。,我们放学后组织了一次会议。,organize a meeting,B,0,0,B,make messy,散らかす,arrange; plan,組織する；計画する
0396,paint,动词,ペンキを塗る；絵を描く,涂漆；画画,She painted the wall blue.,彼女は壁を青く塗った。,她把墙涂成了蓝色。,paint a fence,B,0,0,B,erase,消す,draw; color,描く；塗る
0397,promise,动词,約束する,承诺；约定,He promised to help me.,彼は私を手伝うと約束した。,他答应帮助我。,promise to do,B,0,0,B,break,壊す,say one will do; swear,約束する；誓う
0398,publish,动词,出版する,出版；发表,They published a new magazine.,彼らは新しい雑誌を出版した。,他们出版了一本新杂志。,publish a book,B,0,0,B,hide; hold down,隠す；抑える,print; release,出版する；発表する
0399,quit,动词,やめる,停止；辞去,She decided to quit the club.,彼女はそのクラブをやめることに決めた。,她决定退出那个社团。,quit doing,B,0,0,B,continue; start,続ける；始める,stop; give up,やめる；あきらめる
0400,recognize,动词,認識する；分かる,认出；识别,I recognized her voice at once.,私はすぐに彼女の声だと分かった。,我立刻认出了她的声音。,recognize a person,B,0,0,B,identify wrongly,誤って見分ける,know; identify,認識する；見分ける
0401,rely,动词,頼る；依存する,依靠；信赖,You can rely on your friends.,友達を頼っていいですよ。,你可以依靠朋友。,rely on,B,0,0,B,not trust,信頼しない,depend; trust,頼る；信頼する
0402,rescue,动词,救助する,救援；拯救,The firefighters rescued the child.,消防士たちはその子どもを救助した。,消防员救出了那个孩子。,rescue children,B,0,0,B,make dangerous,危険にする,save; help,救う；助ける
0403,sail,动词,航海する,航行；乘船,We sailed across the lake.,私たちは湖を横切って航行した。,我们乘船穿过湖。,sail from,B,0,0,B,—,—,go by boat,航海する；船で行く
0404,shape,动词,形作る,形成；塑造,Experience shapes our character.,経験は私たちの性格を形作る。,经历塑造我们的性格。,shape like,B,0,0,B,change shape,形を変える,form; make,形作る；作る
0405,stress,动词,強調する；ストレスを感じる,强调；使紧张,The teacher stressed the importance of practice.,先生は練習の大切さを強調した。,老师强调了练习的重要性。,stress about,B,0,0,B,relax; downplay,くつろぐ；軽く扱う,emphasize; worry,強調する；心配させる
0406,support,动词,支持する；支える,支持；支援,His family supported his dream.,彼の家族は彼の夢を支えた。,他的家人支持他的梦想。,support a team,B,0,0,B,oppose,反対する,help; back,支える；応援する
0407,surf,动词,サーフィンをする,冲浪；上网,He likes to surf on the Internet.,彼はインターネットを見るのが好きだ。,他喜欢上网。,surf the Internet,B,0,0,B,—,—,ride waves; browse,サーフィンする；閲覧する
0408,surprise,动词,驚かせる,使惊讶,The news surprised everyone.,そのニュースはみんなを驚かせた。,那个消息让所有人吃惊。,be surprised at,B,0,0,B,expect,予期する,amaze; shock,驚かせる；びっくりさせる
0409,surround,动词,囲む,包围；环绕,The town is surrounded by mountains.,その町は山に囲まれている。,那座城镇被群山环绕。,be surrounded by,B,0,0,B,release; show,解放する；見せる,circle; be around,囲む；取り囲む
0410,warn,动词,警告する,警告；提醒,The sign warns people of danger.,その標識は人々に危険を警告している。,那个标志提醒人们有危险。,warn A of B,B,0,0,B,encourage; reassure,励ます；安心させる,tell of danger; advise,警告する；注意する
0411,weigh,动词,重さがある；量る,称重；重量为,This bag weighs ten kilograms.,このかばんは10キロある。,这个包重10公斤。,weigh 30 kg,B,0,0,B,—,—,measure weight,重さを量る
0412,whisper,动词,ささやく,低声说；耳语,She whispered the answer to me.,彼女は私に答えをささやいた。,她悄悄把答案告诉了我。,whisper to,B,0,0,B,shout,叫ぶ,speak quietly,ささやく；小声で話す
0413,access,动词,アクセスする；近づく,访问；接近,Students can access the website at home.,生徒は家でそのウェブサイトにアクセスできる。,学生可以在家访问那个网站。,access the Internet,B,0,0,B,block,ふさぐ,reach; use,利用する；接続する
0414,achieve,动词,達成する,达成；实现,He achieved his goal after years of practice.,彼は何年もの練習の後で目標を達成した。,他经过多年练习后实现了目标。,achieve a goal,B,0,0,B,fail,失敗する,reach; succeed in,達成する；成功する
0415,attack,动词,攻撃する,攻击,The enemy attacked the castle.,敵は城を攻撃した。,敌人攻击了城堡。,attack an enemy,B,0,0,B,defend,守る,hit; go against,攻撃する；襲う
0416,attend,动词,出席する；世話をする,参加；照料,I will attend the meeting tomorrow.,私は明日その会議に出席します。,我明天会参加会议。,attend a meeting,B,0,0,B,miss; skip,見逃す；飛ばす,go to; join,出席する；参加する
0417,balance,动词,バランスを取る,保持平衡；权衡,She balanced work with play.,彼女は仕事と遊びのバランスを取った。,她平衡了工作和娱乐。,balance A with B,B,0,0,B,make uneven,でこぼこにする,keep steady; compare,釣り合いを取る；比べる
0418,block,动词,妨げる；ふさぐ,阻挡；堵住,A fallen tree blocked the road.,倒れた木が道をふさいだ。,倒下的树挡住了道路。,block the way,B,0,0,B,open; clear,開く；明らかな,stop; close,ふさぐ；止める
0419,blow,动词,吹く,吹；刮,The wind blew strongly last night.,昨夜、風が強く吹いた。,昨晚风刮得很大。,blow up,B,0,0,B,—,—,send air; move by wind,吹く；風で動く
0420,compare,动词,比べる,比较,Compare your answer with mine.,あなたの答えを私の答えと比べてください。,请把你的答案和我的比较一下。,compare A with B,B,0,0,B,contrast,対比する,look at differences; match,比べる；比較する
0421,date,动词,デートする,约会；注明日期,They dated for two years.,彼らは2年間デートした。,他们交往了两年。,date a person,B,0,0,B,—,—,go out with; write the date,デートする；日付を書く
0422,decorate,动词,飾る,装饰,We decorated the room with flowers.,私たちは部屋を花で飾った。,我们用花装饰了房间。,decorate A with B,B,0,0,B,strip; plain,裸にする；地味な,make beautiful; put up,飾る；装飾する
0423,decrease,动词,減る；減少させる,减少；降低,The number of visitors decreased.,訪問者の数が減った。,访客数量减少了。,decrease gradually,B,0,0,B,increase,増える,reduce; go down,減らす；下がる
0424,destroy,动词,破壊する,破坏；摧毁,The fire destroyed the old building.,火事がその古い建物を破壊した。,大火摧毁了那栋旧建筑。,destroy completely,B,0,0,B,build; create,建てる；作る,break; ruin,壊す；破壊する
0425,dig,动词,掘る,挖,The dog dug a hole in the garden.,犬は庭に穴を掘った。,狗在花园里挖了个洞。,dig a hole,B,0,0,B,fill,満たす,make a hole; search,掘る；探す
0426,discover,动词,発見する,发现,Scientists discovered a new planet.,科学者たちは新しい惑星を発見した。,科学家发现了一颗新行星。,discover a fact,B,0,0,B,hide,隠す,find; learn,発見する；知る
0427,discuss,动词,議論する,讨论,We discussed the problem in class.,私たちは授業でその問題について話し合った。,我们在课堂上讨论了这个问题。,discuss a matter,B,0,0,B,ignore,無視する,talk about,話し合う
0428,draw,动词,描く；引く,画；拉,She drew a picture of her dog.,彼女は自分の犬の絵を描いた。,她画了一幅她的狗的画。,draw a picture,B,0,0,B,push; push away,押す；押しのける,pull; make a picture,引く；描く
0429,earn,动词,稼ぐ,赚钱；获得,He earns money by helping neighbors.,彼は近所の人を手伝ってお金を稼ぐ。,他通过帮助邻居赚钱。,earn money,B,0,0,B,spend,使う,get; make money,得る；稼ぐ
