ID,English,category,Japanese,Chinese,Example_English short,Example_English,Example_Japanese,Example_Chinese,Importance,mistake time,Frequncy in test
224,advertisement,名?,広告、宣伝,广告；宣?,put an advertisement in a magazine,I saw an advertisement for a new phone.,私は新しい電話の広告を見ました。,我看到了一?新手机广告。,A,0,A
225,amount,名?,量、合計,数量；金?,a large amount of money,A large amount of money was donated.,多額のお金が寄付されました。,大量?金被捐?了。,A,0,A
226,anniversary,名?,記念日,?念日,wedding anniversary,Today is our fifth wedding anniversary.,今日は私たちの5回目の結婚記念日です。,今天是我?的五周年?婚?念日。,A,0,A
227,attention,名?,注意、注目,注意；?注,pay attention to,Please pay attention to the teacher.,先生に注意を払ってください。,?注意听老??。,A,0,A
228,avenue,名?,大通り,大道；大街,on the avenue,There is a store on the main avenue.,大通りに店があります。,大街上有一家店。,A,0,A
229,average,名?,平均,平均；普通水平,on average,His score is above average.,彼の点数は平均以上です。,他的分数高于平均。,A,0,A
230,boss,名?,上司、ボス,上司；老板,former boss,My former boss taught me a lot.,以前の上司は私に多くのことを教えてくれました。,以前的上司教了我很多。,A,0,A
231,cloth,名?,布,布；布料,cotton cloth,She cleaned the table with a wet cloth.,彼女はぬれた布でテーブルを拭きました。,?用湿布擦?子。,A,0,A
232,corner,名?,角、隅,角落；拐角,at the corner,There is a shop at the corner.,角に店があります。,拐角?有一家店。,A,0,A
233,costume,名?,衣装,服装；?服,prepare costumes,They prepared costumes for the play.,彼らは劇の衣装を用意しました。,他????准?了服装。,A,0,A
234,countryside,名?,田舎、田園地帯,?村；?村,live in the countryside,My grandparents live in the countryside.,私の祖父母は田舎に住んでいます。,我的祖父母住在?下。,A,0,A
235,custom,名?,習慣、慣習,??；?俗,a traditional custom,This is a traditional custom in Japan.,これは日本の伝統的な習慣です。,?是日本的????。,A,0,A
236,customer,名?,顧客,?客,attract customers,The clerk smiled at the customer.,店員は客にほほえみました。,店???客微笑。,A,0,A
237,degree,名?,度、程度,度数；程度,degrees below zero,The temperature was five degrees below zero.,気温は零下5度でした。,气温是零下5度。,A,0,A
238,dentist,名?,歯科医,牙医,go to the dentist,I went to the dentist yesterday.,私は昨日歯医者に行きました。,我昨天去了牙医那里。,A,0,A
239,disaster,名?,災害、不幸,?害；不幸,a natural disaster,The flood was a natural disaster.,洪水は自然災害でした。,洪水是一?自然?害。,A,0,A
240,drugstore,名?,ドラッグストア,??店；?店,a drugstore clerk,I bought medicine at the drugstore.,私はドラッグストアで薬を買いました。,我在?店?了?。,A,0,A
241,earthquake,名?,地震,地震,a severe earthquake,A strong earthquake shook the town.,強い地震が町を揺らしました。,?烈地震?晃了小?。,A,0,A
242,effort,名?,努力,努力,make an effort,You should make an effort every day.,毎日努力すべきです。,????天努力。,A,0,A
243,entertainment,名?,娯楽、催し物、もてなし,??；表演；招待,entertainment for children,The park offers entertainment for children.,その公園は子ども向けの娯楽を提供しています。,?个公?提供儿童??。,A,0,A
244,environment,名?,環境,?境,protect the environment,We must protect the environment.,私たちは環境を守らなければなりません。,我?必?保??境。,A,0,A
245,favor,名?,親切な行為、好意,?忙；好意,do me a favor,Will you do me a favor?,お願いを聞いてもらえますか。,?能?我个忙?？,A,0,A
246,fee,名?,授業料、料金、謝礼,?用；学?,school fees,The school fee is due next week.,授業料は来週が期限です。,学?下周到期。,A,0,A
247,graduation,名?,卒業、卒業式,??；??典礼,after graduation,She got a job soon after graduation.,彼女は卒業後すぐに仕事に就きました。,???后很快找到了工作。,A,0,A
248,grandparent,名?,祖父、祖母,祖父母,visit grandparents,I visited my grandparents last weekend.,私は先週末祖父母を訪ねました。,我上周末拜?了祖父母。,A,0,A
249,homestay,名?,ホームステイ,寄宿家庭；家庭寄宿,go on a homestay,He went to Hawaii on a homestay.,彼はハワイへホームステイに行きました。,他去夏威夷寄宿家庭。,A,0,A
250,industry,名?,産業、工業,??；工?,automobile industry,The automobile industry is important in Japan.,自動車産業は日本で重要です。,汽???在日本很重要。,A,0,A
251,luck,名?,幸運、運,?气；幸?,Good luck,Good luck with your exam.,試験の幸運を祈ります。,祝?考?好?。,A,0,A
252,material,名?,材料、生地、資料,材料；布料；?料,material cost,This material is soft and light.,この材料は柔らかくて軽いです。,??材料柔?又?。,A,0,A
253,mayor,名?,市長,市?,elect a mayor,The citizens elected her mayor.,市民は彼女を市長に選びました。,市民???市?。,A,0,A
254,middle,名?,真ん中,中?,in the middle of,The phone rang in the middle of the night.,真夜中に電話が鳴りました。,??在半夜?了。,A,0,A
255,miniature,名?,ミニチュア、小型模型,微型模型；小型物,a miniature of,I bought a miniature of Tokyo Tower.,私は東京タワーのミニチュアを買いました。,我?了?京塔的微型模型。,A,0,A
256,moment,名?,瞬間、時点,瞬?；?刻,in a moment,Please wait a moment.,少し待ってください。,?等一下。,A,0,A
257,network,名?,網状組織、ネットワーク,网?,an information network,The company built an information network.,会社は情報ネットワークを構築しました。,公司建立了信息网?。,A,0,A
258,organization,名?,組織、団体,??；?体,set up an organization,She works for an international organization.,彼女は国際機関で働いています。,?在一个国???工作。,A,0,A
259,plenty,名?,たくさん、豊富さ,?多；充足,plenty of time,We have plenty of time today.,今日は十分な時間があります。,今天我?有充足的??。,A,0,A
260,pollution,名?,汚染,?染,air pollution,Air pollution is a serious problem.,大気汚染は深刻な問題です。,空气?染是?重??。,A,0,A
261,president,名?,大統領、社長,??；社?；会?,company president,The president gave a short speech.,社長は短いスピーチをしました。,社?做了?短??。,A,0,A
262,project,名?,計画、事業、プロジェクト,??；?目,a research project,We started a research project.,私たちは研究プロジェクトを始めました。,我??始了一个研究?目。,A,0,A
263,quality,名?,質,?量；品?,quality of life,The quality of life is important.,生活の質は大切です。,生活?量很重要。,A,0,A
264,rest,名?,休み、休憩,休息,take a rest,Let's take a rest and have coffee.,休憩してコーヒーを飲みましょう。,我?休息一下喝???。,A,0,A
265,rule,名?,規則、支配,??；?治,keep the rules,You must follow the rules at school.,学校では規則を守らなければなりません。,在学校必?遵守??。,A,0,A
266,space,名?,宇宙、余地,宇宙；空?,space travel,There is not enough space in this room.,この部屋には十分なスペースがありません。,?个房?空?不?。,A,0,A
267,tourist,名?,観光客、旅行者,游客；旅行者,tourist information office,Many tourists visited Kyoto in spring.,春には多くの観光客が京都を訪れました。,春天很多游客??了京都。,A,0,A
268,transportation,名?,交通機関、輸送,交通；??,public transportation,Public transportation is convenient in Tokyo.,東京では公共交通機関が便利です。,?京的公共交通很方便。,A,0,A
269,other,形容?,他の；別の,其他的；?的,in other words,Do you have any other questions?,他に質問はありますか。,??有其他???？,A,0,A
270,another,形容?,別の；もう1つの,?一个；再一个,another one,Can I have another cup of tea?,もう一杯お茶をいただけますか。,我可以再来一杯茶?？,A,0,A
271,different,形容?,違った；いろいろな,不同的；各?各?的,different from,This answer is different from mine.,この答えは私のものと違います。,?个答案和我的不同。,A,0,A
272,expensive,形容?,高価な,昂?的,an expensive watch,That watch is too expensive for me.,その時計は私には高すぎます。,那?手表?我来?太?了。,A,0,A
273,enough,形容?/副?,十分な；十分に,足?的；足?地,enough time,We have enough time to finish the work.,私たちにはその仕事を終える十分な時間があります。,我?有足?的??完成工作。,A,0,A
274,difficult,形容?,困難な；難しい,困?的；?的,a difficult problem,This math problem is difficult for me.,この数学の問題は私には難しいです。,?道数学??我来?很?。,A,0,A
275,close,形容?,接近した；親密な,近的；?密的,close to,My house is close to the station.,私の家は駅に近いです。,我家??站很近。,A,0,A
276,local,形容?,地元の；局所の,当地的；地方的,local news,I read local news every morning.,私は毎朝地元のニュースを読みます。,我?天早上看本地新?。,A,0,A
277,own,形容?,自分自身の,自己的,one's own,Please write your own answer.,自分自身の答えを書いてください。,?写出?自己的答案。,A,0,A
278,blind,形容?,目の見えない,失明的；看不?的,be blind in one eye,The old dog is blind in one eye.,その老犬は片目が見えません。,那只老狗有一只眼睛看不?。,A,0,A
279,national,形容?,全国的な；国民の；国立の,全国的；国家的；国立的,national contest,The team won a national contest.,そのチームは全国大会で優勝しました。,那个??得了全国比?。,A,0,A
280,following,形容?,次の；以下の,下面的；以下的,the following,Please read the following sentence.,次の文を読んでください。,??下面的句子。,A,0,A
281,international,形容?,国際的な,国?的,international organization,She works for an international company.,彼女は国際的な会社で働いています。,?在一家国?公司工作。,A,0,A
282,special,形容?,特別な,特?的,special reason,We prepared a special dinner for him.,私たちは彼のために特別な夕食を用意しました。,我??他准?了一?特?的?餐。,A,0,A
283,concrete,形容?,具体的な；コンクリート製の,具体的；混凝土的,a concrete plan,We need a concrete plan before we start.,始める前に具体的な計画が必要です。,?始之前我?需要一个具体??。,A,0,A
284,dangerous,形容?,危険な,危?的,a dangerous place,It is dangerous to swim in this river.,この川で泳ぐのは危険です。,在?条河里游泳很危?。,A,0,A
285,true,形容?,本当の；真実の,真?的；真正的,true story,Is this story true?,この話は本当ですか。,?个故事是真的?？,A,0,A
286,natural,形容?,自然の；当然の；生まれつきの,自然的；天然的,natural energy,This park is full of natural beauty.,この公園は自然の美しさにあふれています。,?个公?充?自然之美。,A,0,A
287,noisy,形容?,騒々しい,??的,noisy neighbors,The classroom was noisy after lunch.,昼食後、教室は騒がしかったです。,午?后教室很?。,A,0,A
288,safe,形容?,安全な；無事で,安全的,a safe place,Keep your money in a safe place.,お金を安全な場所に保管しなさい。,把?放在安全的地方。,A,0,A
289,several,形容?,数人の；いくつかの,几个的；若干的,several times,I visited Kyoto several times.,私は京都を数回訪れました。,我去?京都好几次。,A,0,A
290,unusual,形容?,異常な；普通でない,?常的；不?常的,unusual weather,We had unusual weather this spring.,今年の春は変わった天気でした。,今年春天天气很?常。,A,0,A
291,common,形容?,共通の；普通の,共同的；常?的,common language,English is a common language in many countries.,英語は多くの国で共通語です。,英?是?多国家的通用?言。,A,0,A
292,friendly,形容?,友好的な；人なつっこい,友好的；?切的,a friendly relationship,Our new teacher is very friendly.,新しい先生はとても親しみやすいです。,我?的新老?很友好。,A,0,A
293,possible,形容?,可能な；あり得る,可能的,as soon as possible,Please come as soon as possible.,できるだけ早く来てください。,?尽快来。,A,0,A
294,bright,形容?,明るい；利口な,明亮的；?明的,a bright future,The room is bright in the morning.,その部屋は朝明るいです。,那个房?早上很明亮。,A,0,A
295,comfortable,形容?,快適な,舒?的,a comfortable seat,This chair is very comfortable.,この椅子はとても座り心地がよいです。,?把椅子很舒服。,A,0,A
296,delicious,形容?,おいしい,美味的,a delicious meal,The curry was delicious.,そのカレーはおいしかったです。,??很好吃。,A,0,A
297,likely,形容?,?しそうである；ありそうな,可能的；有可能的,be likely to do,It is likely to snow tonight.,今夜は雪が降りそうです。,今?可能会下雪。,A,0,A
298,past,形容?/名?,過去の；過去,?去的；?去,for the past year,I learned a lot from my past mistakes.,私は過去の失敗から多くを学びました。,我从?去的??中学到了很多。,A,0,A
299,wild,形容?,野生の；荒れ果てた；乱暴な,野生的；狂野的,wild animals,We saw wild birds near the lake.,私たちは湖の近くで野鳥を見ました。,我?在湖?看到了野?。,A,0,A
300,careful,形容?,注意深い,小心的；仔?的,be careful not to do,Be careful when you cross the street.,道を渡るときは気をつけなさい。,??路?要小心。,A,0,A
301,cheap,形容?,安い,便宜的,a cheap camera,I bought a cheap camera online.,私はネットで安いカメラを買いました。,我在网上?了一台便宜的相机。,A,0,A
302,empty,形容?,空の,空的,an empty bottle,The bottle is empty.,その瓶は空です。,瓶子是空的。,A,0,A
303,extra,形容?,追加の；余分の,?外的；多余的,an extra charge,We need an extra chair for the guest.,お客さんのために余分な椅子が必要です。,我?需要一把?外的椅子?客人。,A,0,A
304,familiar,形容?,精通して；よく知られた,熟悉的；精通的,be familiar with,This song is familiar to many people.,この歌は多くの人によく知られています。,?首歌?很多人所熟悉。,A,0,A
305,lonely,形容?,寂しい,孤独的；寂寞的,a lonely life,She felt lonely after moving to a new city.,新しい町に引っ越した後、彼女は寂しく感じました。,搬到新城市后?感到孤独。,A,0,A
306,loud,形容?,大声の；派手な,?亮的；大声的,in a loud voice,Please don't speak in a loud voice here.,ここでは大声で話さないでください。,?不要在?里大声??。,A,0,A
307,main,形容?,主な,主要的,main reason,The main reason is simple.,主な理由は簡単です。,主要原因很??。,A,0,A
308,nearby,形容?/副?,近くの；近くに,附近的；在附近,a nearby shop,There is a nearby supermarket.,近くにスーパーがあります。,附近有一家超市。,A,0,A
309,necessary,形容?,必要な,必要的,absolutely necessary,Sleep is necessary for good health.,睡眠は健康に必要です。,睡眠?健康是必要的。,A,0,A
310,official,形容?,公式の；正式の；職務上の,官方的；正式的,official record,The school made an official announcement.,学校は公式発表をしました。,学校?布了正式通知。,A,0,A
311,ordinary,形容?,普通の；並の,普通的；平常的,ordinary life,It was an ordinary day.,それは普通の日でした。,那是普通的一天。,A,0,A
312,private,形容?,個人的な；私立の；私的な,私人的；私立的,private lesson,This is my private room.,これは私の個室です。,?是我的私人房?。,A,0,A
313,quiet,形容?,静かな,安静的,be quiet,The library is quiet.,図書館は静かです。,???很安静。,A,0,A
314,similar,形容?,類似した,相似的,similar to,Your bag is similar to mine.,あなたのかばんは私のものに似ています。,?的包和我的相似。,A,0,A
315,afraid,形容?,心配して；怖がって,害怕的；担心的,be afraid of,I'm afraid of big dogs.,私は大きな犬が怖いです。,我害怕大狗。,A,0,A
316,ancient,形容?,古代の；古来の,古代的,ancient civilization,We studied ancient history at school.,私たちは学校で古代史を学びました。,我?在学校学?了古代?史。,A,0,A
317,certain,形容?,確信して；ある,?定的；某些的,certain groups,I am certain that he will come.,彼が来ると私は確信しています。,我?信他会来。,A,0,A
318,final,形容?,最後の,最后的,final chance,This is the final question.,これは最後の質問です。,?是最后一个??。,A,0,A
319,honest,形容?,正直な,??的,to be honest,He is an honest person.,彼は正直な人です。,他是一个??的人。,A,0,A
320,nervous,形容?,緊張している；神経質な,??的；神??的,get nervous,I was nervous before the speech.,スピーチの前に私は緊張していました。,演?前我很??。,A,0,A
321,normal,形容?,普通の；標準の,正常的；普通的,normal way,His temperature is normal.,彼の体温は正常です。,他的体温正常。,A,0,A
322,portable,形容?,携帯できる,便携的,portable charger,I bought a portable charger for my phone.,私は携帯電話用の携帯充電器を買いました。,我?了一个手机便携充?器。,A,0,A
323,public,形容?,公共の；公立の,公共的；公立的,public phone,Please use a public phone in an emergency.,緊急時には公衆電話を使ってください。,?急??使用公用??。,A,0,A
324,recent,形容?,最近の,最近的,in recent years,"In recent years, this town has changed a lot.",近年、この町は大きく変わりました。,近年来?个城??化很大。,A,0,A
325,successful,形容?,成功した,成功的,successful businessman,She became a successful businesswoman.,彼女は成功した実業家になりました。,?成了一位成功的女企?家。,A,0,A
326,arctic,形容?,北極の,北?的,arctic explorer,The arctic wind was very cold.,北極の風はとても冷たかったです。,北?的?非常寒冷。,A,0,A
327,asleep,形容?,眠って,睡着的,fall asleep,The baby fell asleep quickly.,赤ちゃんはすぐに眠りました。,?儿很快睡着了。,A,0,A
328,boring,形容?,退屈な,无聊的,a boring program,The movie was boring.,その映画は退屈でした。,那部?影很无聊。,A,0,A
329,calm,形容?,落ち着いた,冷静的；平静的,stay calm,Stay calm and listen carefully.,落ち着いてよく聞きなさい。,保持冷静并仔?听。,A,0,A
330,clear,形容?,はっきりした；晴れた；澄んだ,清楚的；晴朗的,clear answer,She gave me a clear answer.,彼女は私にはっきりした答えをくれました。,??了我明?的回答。,A,0,A
331,convenient,形容?,便利な,方便的,a convenient tool,This app is convenient for studying English.,このアプリは英語学習に便利です。,?个?用学英?很方便。,A,0,A
332,correct,形容?,正しい；適切な,正?的；合?的,correct answer,Please choose the correct answer.,正しい答えを選んでください。,???正?答案。,A,0,A
333,cute,形容?,かわいい,可?的,a cute baby,That puppy is very cute.,その子犬はとてもかわいいです。,那只小狗非常可?。,A,0,A
334,however,副?,しかしながら；どんなに?でも,然而；不?,however hard,"I studied hard. However, I failed the test.",私は一生懸命勉強しました。しかし、試験に落ちました。,我努力学?了。然而，我考?没通?。,A,0,A
335,even,副?,?でさえ；さらに,甚至；?……也,even today,Even my brother knows the answer.,私の弟でさえその答えを知っています。,?我弟弟都知道答案。,A,0,A
336,later,副?,後で；もっと遅く,之后；稍后,three years later,I will call you later.,後であなたに電話します。,我稍后??打??。,A,0,A
337,instead,副?,その代わりに,代替；反而,instead of,I used a pencil instead of a pen.,私はペンの代わりに鉛筆を使いました。,我用??代替了??。,A,0,A
338,quickly,副?,すぐに；急いで,迅速地；很快地,answer quickly,She answered the question quickly.,彼女はその質問にすばやく答えました。,?很快回答了??。,A,0,A
339,yet,副?,もう；まだ,已?；?；尚未,not yet,Have you finished your homework yet?,もう宿題は終わりましたか。,?作?已?做完了?？,A,0,A
340,actually,副?,実際に；本当のところ,??上；其?,actually happen,"Actually, I have never been there.",実は、私はそこに行ったことがありません。,其?我从没去?那里。,A,0,A
341,recently,副?,最近；近ごろ,最近,recently started,I recently started learning Japanese.,私は最近日本語を学び始めました。,我最近?始学?日?。,A,0,A
342,though,副?/??,でも；やっぱり；だけれども,不?；?然,even though,"It was cold, but I enjoyed the trip though.",寒かったですが、それでも旅行を楽しみました。,天气很冷，不?我?是享受了旅行。,A,0,A
343,far,副?,遠くに；はるかに,?；??地,far from,My school is far from here.,私の学校はここから遠いです。,我的学校??里很?。,A,0,A
344,outside,副?/名?,外に；外側,外面；在外面,outside the house,The children played outside after lunch.,子どもたちは昼食後に外で遊びました。,孩子?午?后在外面玩。,A,0,A
345,almost,副?,ほとんど；もう少しで,几乎；差点,almost all,I almost missed the train.,私はもう少しで電車に乗り遅れるところでした。,我差点??火?。,A,0,A
346,else,副?,その他に；代わりに,其他；?外,anything else,Do you need anything else?,他に何か必要ですか。,??需要其他?西?？,A,0,A
347,probably,副?,たぶん,大概；可能,probably come,He will probably come tomorrow.,彼はたぶん明日来るでしょう。,他大概明天会来。,A,0,A
348,finally,副?,ついに；最後に,?于；最后,finally reach,"Finally, we reached the top of the mountain.",ついに私たちは山頂に着きました。,?于，我?到?了山?。,A,0,A
349,luckily,副?,運良く,幸?地,luckily win,"Luckily, nobody was hurt.",幸いにも、誰もけがをしませんでした。,幸?的是，没有人受?。,A,0,A
350,nearly,副?,ほとんど；もう少しで,几乎；差不多,nearly all,The box is nearly empty.,その箱はほとんど空です。,那个盒子几乎空了。,A,0,A
351,sometime,副?,いつか；ある時,某个?候；改天,sometime in the future,Let's meet sometime next week.,来週のいつか会いましょう。,我?下周找个???面?。,A,0,A
352,inside,副?/名?,中に；内側に,在里面；里面,stay inside,Please stay inside during the storm.,嵐の間は中にいてください。,暴?雨期??待在室内。,A,0,A
353,once,副?,一度；かつて,一次；曾?,once a week,I have visited Nara once.,私は奈良を一度訪れたことがあります。,我去?奈良一次。,A,0,A
354,pretty,副?/形容?,なかなか；かわいらしい,相当；漂亮的,pretty good,This soup tastes pretty good.,このスープはなかなかおいしいです。,?个?相当好喝。,A,0,A
355,afterward,副?,後で,后来；之后,afterward,We had lunch and went shopping afterward.,私たちは昼食を食べ、その後買い物に行きました。,我?吃了午?，之后去?物了。,A,0,A
356,anymore,副?,これ以上；もう?ない,再也；不再,not anymore,I don't live there anymore.,私はもうそこには住んでいません。,我已?不住在那里了。,A,0,A
357,easily,副?,気楽に；たやすく；簡単に,?松地；容易地,easily solve,He solved the puzzle easily.,彼はそのパズルを簡単に解きました。,他?松解?了??。,A,0,A
358,moreover,副?,その上,而且；此外,moreover,"It was cold; moreover, it started to rain.",寒かったうえに、雨が降り始めました。,天气很冷，而且?始下雨了。,A,0,A
359,quite,副?,とても；かなり；全く,很；相当；完全,quite difficult,This question is quite difficult.,この問題はかなり難しいです。,?个??相当?。,A,0,A
360,regularly,副?,定期的に；規則正しく,定期地；有?律地,regularly exercise,I exercise regularly to stay healthy.,私は健康を保つために定期的に運動します。,我?了保持健康定期??。,A,0,A
361,twice,副?,2回；2度,?次,twice a day,I brush my teeth twice a day.,私は一日に二回歯を磨きます。,我一天刷?次牙。,A,0,A
362,ahead,副?,前方に；前もって,在前面；提前,go ahead,Please go ahead without me.,私を待たずに先に行ってください。,?不用等我，先走?。,A,0,A
363,completely,副?,完全に,完全地,completely destroyed,The building was completely destroyed.,その建物は完全に破壊されました。,那?建筑被完全破坏了。,A,0,A
364,gradually,副?,徐々に,逐?地,gradually become,The weather gradually became warmer.,天気は徐々に暖かくなりました。,天气逐??暖了。,A,0,A
365,while,??/名?,?している間に；?ではあるが；短い期間,在……期?；?然；一会儿,while I am away,Please wait here while I buy tickets.,私が切符を買う間、ここで待ってください。,我?票的?候?在?里等。,A,0,A
366,although,??,?だけれども,?然；尽管,although I'm busy,"Although it was raining, we went out.",雨が降っていましたが、私たちは外出しました。,?然下雨了，但我??是出?了。,A,0,A
367,through,介?,?を通って；?を通じて；?中ずっと,穿?；通?；整个期?,through the tunnel,We walked through the tunnel.,私たちはトンネルを通って歩きました。,我?穿?了隧道。,A,0,A
368,against,介?,?に反対して；?を対戦相手として,反?；?抗,against the plan,Are you for or against this plan?,あなたはこの計画に賛成ですか、反対ですか。,??成?是反??个??？,A,0,A
369,below,介?/副?,?より下に；下に,在……下面；低于,below zero,The temperature fell below zero.,気温は零度より下がりました。,气温降到了零度以下。,A,0,A
370,behind,介?/副?,?の後ろに；後ろに,在……后面,behind the line,The cat is behind the door.,猫はドアの後ろにいます。,猫在?后面。,A,0,A
371,throughout,介?/副?,?の間ずっと；?の至るところに,整个期?；遍及,throughout the summer,It rained throughout the night.,夜通し雨が降りました。,整夜都在下雨。,A,0,A
372,unlike,介?,?と異なって；?らしくない,不像；与……不同,unlike the usual case,"Unlike his brother, he is very quiet.",兄とは違って、彼はとても静かです。,与哥哥不同，他很安静。,A,0,A
373,within,介?,?以内で；?に,在……以内,within half an hour,Please finish this work within an hour.,この仕事を一時間以内に終えてください。,?在一小?内完成??工作。,A,0,A
0374,accept,??,受け入れる,接受,accept an offer,Please accept my apology.,私の謝罪を受け入れてください。,?接受我的道歉。,B,0,B
0375,aim,??,狙う；目指す,?准；以……?目?,aim at / aim to do,She aims to become a doctor.,彼女は医者になることを目指している。,?的目?是成?医生。,B,0,B
0376,collect,??,集める,收集,collect stamps,He collects old coins.,彼は古い硬貨を集めている。,他收集旧硬?。,B,0,B
0377,control,??,管理する；制御する,控制；管理,control quality,It is hard to control the machine.,その機械を制御するのは難しい。,控制那台机器很?。,B,0,B
0378,deliver,??,配達する,投?；送?,deliver newspapers,They deliver packages every morning.,彼らは毎朝荷物を配達する。,他??天早上送包裹。,B,0,B
0379,develop,??,開発する；発達させる,??；?展,develop a product,The company developed a new app.,その会社は新しいアプリを開発した。,那家公司??了一个新?用。,B,0,B
0380,disappear,??,姿を消す；消える,消失,disappear suddenly,The moon disappeared behind the clouds.,月は雲の後ろに消えた。,月亮消失在云后。,B,0,B
0381,disappoint,??,失望させる,使失望,be disappointed with,The result disappointed many fans.,その結果は多くのファンを失望させた。,?个?果??多粉?失望。,B,0,B
0382,dislike,??,嫌う,不喜?；??,dislike doing,I dislike waiting in long lines.,私は長い列で待つのが嫌いだ。,我不喜?排??。,B,0,B
0383,explain,??,説明する,?明；解?,explain A to B,Can you explain the rule to me?,そのルールを私に説明してくれますか。,?能?我解?一下???？,B,0,B
0384,fight,??,戦う,?斗；争?,fight against,They fought against the enemy.,彼らは敵と戦った。,他?与?人?斗。,B,0,B
0385,film,??,撮影する,拍?,film a movie,We filmed a short movie at school.,私たちは学校で短い映画を撮影した。,我?在学校拍了一部短片。,B,0,B
0386,gather,??,集まる；集める,聚集；收集,gather information,People gathered in the park.,人々は公園に集まった。,人?聚集在公?里。,B,0,B
0387,hang,??,つるす；掛ける,?挂；挂,hang a picture,Please hang your coat here.,ここにコートを掛けてください。,?把外套挂在?里。,B,0,B
0388,hide,??,隠す；隠れる,?藏,hide behind,The cat hid under the table.,猫はテーブルの下に隠れた。,猫藏在?子下面。,B,0,B
0389,hit,??,打つ；ぶつかる,打；?中,hit a ball,The ball hit the window.,ボールが窓に当たった。,球?中了窗?。,B,0,B
0390,imagine,??,想像する,想象,imagine doing,Imagine a world without cars.,車のない世界を想像してみて。,想象一个没有汽?的世界。,B,0,B
0391,invent,??,発明する,?明,invent a machine,Who invented this machine?,誰がこの機械を発明したのですか。,是??明了?台机器？,B,0,B
0392,limit,??,制限する,限制,limit the number,We should limit the use of plastic bags.,私たちはビニール袋の使用を制限すべきだ。,我???限制塑料袋的使用。,B,0,B
0393,melt,??,溶ける；溶かす,融化,melt quickly,The snow began to melt.,雪が溶け始めた。,雪?始融化。,B,0,B
0394,notice,??,気づく,注意到,notice an error,I noticed a serious mistake.,私は重大な間違いに気づいた。,我注意到了一个?重??。,B,0,B
0395,organize,??,準備する；組織する,??；安排,organize a meeting,We organized a meeting after school.,私たちは放課後に会議を準備した。,我?放学后??了一次会?。,B,0,B
0396,paint,??,ペンキを塗る；絵を描く,?漆；画画,paint a fence,She painted the wall blue.,彼女は壁を青く塗った。,?把??成了?色。,B,0,B
0397,promise,??,約束する,承?；?定,promise to do,He promised to help me.,彼は私を手伝うと約束した。,他答??助我。,B,0,B
0398,publish,??,出版する,出版；?表,publish a book,They published a new magazine.,彼らは新しい雑誌を出版した。,他?出版了一本新?志。,B,0,B
0399,quit,??,やめる,停止；辞去,quit doing,She decided to quit the club.,彼女はそのクラブをやめることに決めた。,?决定退出那个社?。,B,0,B
0400,recognize,??,認識する；分かる,?出；??,recognize a person,I recognized her voice at once.,私はすぐに彼女の声だと分かった。,我立刻?出了?的声音。,B,0,B
0401,rely,??,頼る；依存する,依靠；信?,rely on,You can rely on your friends.,友達を頼っていいですよ。,?可以依靠朋友。,B,0,B
0402,rescue,??,救助する,救援；拯救,rescue children,The firefighters rescued the child.,消防士たちはその子どもを救助した。,消防?救出了那个孩子。,B,0,B
0403,sail,??,航海する,航行；乘船,sail from,We sailed across the lake.,私たちは湖を横切って航行した。,我?乘船穿?湖。,B,0,B
0404,shape,??,形作る,形成；塑造,shape like,Experience shapes our character.,経験は私たちの性格を形作る。,??塑造我?的性格。,B,0,B
0405,stress,??,強調する；ストレスを感じる,??；使??,stress about,The teacher stressed the importance of practice.,先生は練習の大切さを強調した。,老???了??的重要性。,B,0,B
0406,support,??,支持する；支える,支持；支援,support a team,His family supported his dream.,彼の家族は彼の夢を支えた。,他的家人支持他的梦想。,B,0,B
0407,surf,??,サーフィンをする,冲浪；上网,surf the Internet,He likes to surf on the Internet.,彼はインターネットを見るのが好きだ。,他喜?上网。,B,0,B
0408,surprise,??,驚かせる,使??,be surprised at,The news surprised everyone.,そのニュースはみんなを驚かせた。,那个消息?所有人吃?。,B,0,B
0409,surround,??,囲む,包?；??,be surrounded by,The town is surrounded by mountains.,その町は山に囲まれている。,那座城?被群山??。,B,0,B
0410,warn,??,警告する,警告；提醒,warn A of B,The sign warns people of danger.,その標識は人々に危険を警告している。,那个?志提醒人?有危?。,B,0,B
0411,weigh,??,重さがある；量る,称重；重量?,weigh 30 kg,This bag weighs ten kilograms.,このかばんは10キロある。,?个包重10公斤。,B,0,B
0412,whisper,??,ささやく,低声?；耳?,whisper to,She whispered the answer to me.,彼女は私に答えをささやいた。,?悄悄把答案告?了我。,B,0,B
0413,access,??,アクセスする；近づく,??；接近,access the Internet,Students can access the website at home.,生徒は家でそのウェブサイトにアクセスできる。,学生可以在家??那个网站。,B,0,B
0414,achieve,??,達成する,?成；??,achieve a goal,He achieved his goal after years of practice.,彼は何年もの練習の後で目標を達成した。,他??多年??后??了目?。,B,0,B
0415,attack,??,攻撃する,攻?,attack an enemy,The enemy attacked the castle.,敵は城を攻撃した。,?人攻?了城堡。,B,0,B
0416,attend,??,出席する；世話をする,参加；照料,attend a meeting,I will attend the meeting tomorrow.,私は明日その会議に出席します。,我明天会参加会?。,B,0,B
