No,English,Japanese,Example_English,Example_Japanese
379,excellent,優れた,This is an excellent idea.,これは優れたアイデアだ。 
380,nearby,近くの,We ate lunch at a nearby cafe.,私たちは近くのカフェで昼食を食べた。 
381,huge,巨大な,They live in a huge house.,彼らは巨大な家に住んでいる。 
382,main,主な,What is the main reason for your choice?,あなたの選択の主な理由は何ですか？ 
383,fresh,新鮮な,I like to eat fresh vegetables.,私は新鮮な野菜を食べるのが好きだ。 
384,usual,いつもの,I'll have my usual coffee.,いつものコーヒーをいただきます。 
385,boring,退屈な,The movie was very boring.,その映画はとても退屈だった。 
386,colorful,色彩豊かな,She wore a colorful dress.,彼女は色彩豊かなドレスを着ていた。 
387,scary,恐ろしい,I watched a scary movie last night.,昨夜、恐ろしい映画を見た。 
388,spicy,ピリッとした,I like spicy food like curry.,私はカレーのようなピリッとした（辛い）料理が好きだ。 
389,nervous,紧张している,I feel nervous before the exam.,試験の前は緊張している。 
390,convenient,便利な,Smartphones are very convenient.,スマートフォンはとても便利だ。 
391,wide,幅が広い,The river is very wide here.,ここでは川の幅がとても広い。 
392,elementary,初等教育の,He is an elementary school student.,彼は初等教育（小学校）の生徒だ。 
393,once,1度,I have been to Hawaii once.,ハワイへ1度行ったことがある。 
394,anymore,これ以上,I can't eat anymore.,これ以上は食べられない。 
395,almost,ほとんど,I have almost finished my work.,ほとんど仕事が終わった。 
396,carefully,注意して,Read the instructions carefully.,説明書を注意して読みなさい。 
397,luckily,運よく,"Luckily, it didn't rain.",運よく、雨は降らなかった。 
398,outdoors,屋外で,I like to play outdoors.,私は屋外で遊ぶのが好きだ。 
399,clearly,はっきりと,Can you see the sign clearly?,そのサインがはっきりと見えますか？ 
400,against,~に反対して,I am against your plan.,私はあなたの計画に反対している。 
401,connect,をつなぐ ,You can connect your computer to the printer.,コンピューターをプリンターにつなぐことができます。
402,suppose,~することになっている ,We are supposed to meet at 10 o'clock.,私たちは10時に会うことになっています。
403,fail,失敗する ,He failed the driving test twice.,彼は運転免許の試験に2回失敗しました。
404,display,を展示する ,New products are displayed in the window.,新製品が窓際に展示されています。
405,compete,競争する ,Many athletes compete in the Olympics.,多くの選手がオリンピックで競争します。
406,explore,を探検する ,They explored the deep forest.,彼らは深い森を探検しました。
407,raise,を上げる ,Please raise your hand if you have a question.,質問があれば手を上げてください。
408,contact,~と連絡をとる ,I will contact you as soon as I arrive.,到着したらすぐに連絡をとります。
409,attend,出席する ,I'm going to attend a wedding next week.,来週、結婚式に出席する予定です。
410,remove,を取り除く ,Please remove your shoes at the entrance.,玄関で靴を取り除いて（脱いで）ください。
411,complete,を達成する ,She completed the marathon in four hours.,彼女は4時間でマラソンを達成（完走）しました。
412,gain,を得る ,You can gain useful experience from this job.,この仕事から役立つ経験を得ることができます。
413,balance,バランスをとる ,It is hard to balance work and life.,仕事と生活のバランスをとるのは難しい。
414,decorate,を飾る ,We decorated the Christmas tree with lights.,私たちはクリスマスツリーをライトで飾りました。
415,gather,を集める ,A large crowd gathered to see the singer.,歌手を見るために大きな群衆が集まりました。
416,bother,~に迷惑をかける ,"I'm sorry to bother you, but can you help me?",迷惑をかけてすみませんが、手伝ってくれますか？
417,retire,引退する ,My grandfather retired last year.,私の祖父は昨年引退しました。
418,hate,を憎む ,I hate getting up early in winter.,冬に早起きするのを憎んで（ひどく嫌って）います。
419,hug,を抱きしめる ,She gave her daughter a big hug.,彼女は娘を大きなハグで抱きしめました。
420,support,を支持する ,My parents supported my decision.,両親は私の決定を支持してくれました。
421,touch,触れる ,Please do not touch the paintings.,絵画に触れないでください。
422,scare,を怯えさせる ,The loud noise scared the baby.,大きな音が赤ん坊を怯えさせました。
423,hire,を雇う ,The shop is hiring part-time workers.,その店はパートタイムの従業員を雇っています。
424,expect,を予期する ,I expect that it will rain tonight.,今夜は雨が降ると予期しています。
425,publish,を出版する ,He published his first book last month.,彼は先月、最初の本を出版しました。
426,attack,を攻撃する ,The castle was attacked by the enemy.,その城は敵に攻撃されました。
427,measure,を測定する ,The nurse measured my temperature.,看護師が私の体温を測定しました。
428,discuss,議論する ,We need to discuss this problem.,私たちはこの問題について議論する必要があります。
429,examination,試験 ,I have to take a medical examination.,健康診断（試験）を受けなければなりません。
430,research,調査 ,She is doing research on space.,彼女は宇宙に関する調査を行っています。
431,amount,量 ,A large amount of water was wasted.,大量の水が浪費されました。
432,announcement,発表 ,I heard an announcement at the station.,駅で発表（アナウンス）を聞きました。
433,screen,画面 ,My smartphone screen is broken.,スマートフォンの画面が割れています。
434,advice,助言 ,My teacher gave me some good advice.,先生が私に良い助言をくれました。
435,distance,距離 ,What is the distance from here to the airport?,ここから空港までの距離はどのくらいですか？
436,shopper,買い物客 ,The mall was crowded with shoppers.,モールは買い物客で混雑していました。
437,director,監督 ,He is a famous movie director.,彼は有名な映画監督です。
438,technique,技術 ,You need special techniques for this job.,この仕事には特別な技術が必要です。
439,average,平均 ,The average age of the students is 15.,生徒の平均年齢は15歳です。
440,gallery,美術館 ,There is an art gallery near the park.,公園の近くに美術館（ギャラリー）があります。
441,convenience,便利 ,I chose this hotel for its convenience.,利便性（便利さ）のためにこのホテルを選びました。
442,application,申し込み ,I filled out the application form.,申し込み用紙に記入しました。
443,state,国家 ,Texas is a large state in the US.,テキサスはアメリカの大きな州（国家的な単位）です。
444,amusement,娯楽 ,We went to the amusement park.,私たちは遊園地（娯楽施設）へ行きました。
445,sight,光景 ,The sunset was a beautiful sight.,夕焼けは美しい光景でした。
446,matter,問題 ,What is the matter with you?,どうしたのですか？（何が問題ですか？）
447,sauce,ソース ,I like pasta with tomato sauce.,トマトソースのパスタが好きです。
448,bottom,底 ,There is a hole in the bottom of the bag.,バッグの底に穴が開いています。
449,corner,角 ,The store is on the corner of the street.,その店は通りの角にあります。
450,principal,校长 ,Our principal gave a speech today.,今日、私たちの校長先生がスピーチをしました。
451,homestay,ホームステイ ,I did a homestay in Canada last year.,去年、カナダでホームステイをしました。
452,jellyfish,クラゲ ,Be careful of jellyfish in the sea.,海のクラゲに気をつけてください。
453,percent,パーセント ,About 70 percent of the earth is water.,地球の約70パーセントは水です。
454,lifestyle,ライフスタイル ,She has a healthy lifestyle.,彼女は健康的なライフスタイルを送っています。
455,career,职业 ,He wants to have a career in medicine.,彼は医学の職業に就きたいと思っています。
456,goal,目標 ,My goal is to pass the exam.,私の目標は試験に合格することです。
457,chef,シェフ ,He works as a chef in a French restaurant.,彼はフランス料理店のシェフとして働いています。
458,fashion,流行 ,This style is currently in fashion.,このスタイルは現在流行しています。
459,relative,親戚 ,All my relatives gathered for the New Year.,お正月に親戚が全員集まりました。
460,credit,信用 ,Can I pay by credit card?,クレジット（信用）カードで払えますか？
461,challenge,課題 ,Learning a new language is a challenge.,新しい言語を学ぶことは課題（挑戦）です。
462,luck,幸運 ,Good luck with your test!,テストの幸運を祈ります！
463,backyard,裏庭 ,We had a barbecue in the backyard.,裏庭でバーベキューをしました。
464,emergency,緊急事態 ,Call this number in an emergency.,緊急事態の際はこの番号にかけてください。
465,favor,好意 ,Could you do me a favor?,お願い（好意による助け）をきいてくれますか？
466,Olympics,国際オリンピック大会 ,Tokyo hosted the Olympics.,東京がオリンピックを開催しました。
467,fever,熱 ,I have a high fever today.,今日は高い熱があります。
468,campus,構内 ,The university campus is very large.,大学の構内（キャンパス）はとても広いです。
469,photographer,写真家 ,She is a professional photographer.,彼女はプロの写真家です。
470,bar,棒 ,He bought a chocolate bar.,彼は棒状のチョコレートを買いました。
471,laundry,洗濯物 ,I have to do the laundry today.,今日は洗濯物（の洗濯）をしなければなりません。
472,refrigerator,冷蔵庫 ,Put the milk in the refrigerator.,牛乳を冷蔵庫に入れてください。
473,modern,現代の ,I like modern art.,私は現代の芸術が好きです。
474,common,共通の ,We have many common interests.,私たちには多くの共通の興味があります。
475,extra,余分の ,Can I have an extra blanket?,余分の（もう一枚の）毛布をいただけますか？
476,national,国民の ,Today is a national holiday.,今日は国民の休日（祝日）です。
477,real,本当の ,Is this a real diamond?,これは本当のダイヤモンドですか？
478,comfortable,快適な ,This sofa is very comfortable.,このソファーはとても快適です。
479,possible,可能な ,Is it possible to finish this today?,今日中にこれを終えることは可能ですか？
480,recent,最近の ,I'm interested in recent news.,私は最近のニュースに興味があります。
481,least,最も少ない ,This is the least expensive bag.,これが最も少ない（最も安い）費用のバッグです。
482,normal,普通の ,It's normal to feel nervous before a speech.,スピーチの前に緊張するのは普通のことです。
483,international,国際的な ,He works for an international company.,彼は国際的な会社で働いています。
484,asleep,眠って ,The baby is fast asleep.,赤ん坊はぐっすり眠っています。
485,active,活動的な ,She is an active member of the club.,彼女はクラブの活動的なメンバーです。
486,lonely,寂しい ,He felt lonely after his friends left.,友達が帰った後、彼は寂しいと感じました。
487,regular,通常の ,I go for a walk as a regular exercise.,通常の（日課の）運動として散歩に行きます。
488,bright,明るい ,The sun is very bright today.,今日は太陽がとても明るいです。
489,correct,正しい ,Your answer is correct.,あなたの答えは正しいです。
490,relaxing,くつろがせる ,I had a relaxing time at the beach.,私はビーチでくつろがせる（リラックスした）時間を過ごしました。
491,unfortunately,不幸にも ,"Unfortunately, it rained on our picnic day.",不幸にも、ピクニックの日は雨が降りました。
492,downtown,街の中心部へ ,Let's go downtown to do some shopping.,買い物をするために街の中心部へ行きましょう。
493,mostly,大部分は ,The people were mostly students.,その人々は大部分が学生でした。
494,nearly,ほとんど ,It's nearly dinner time.,ほとんど夕食の時間です。
495,heavily,激しく ,It's snowing heavily outside.,外は激しく雪が降っています。
496,anytime,いつでも ,You can call me anytime.,いつでも私に電話していいですよ。
497,except,~を除いては ,The store is open every day except Sunday.,その店は日曜日を除いては毎日開いています。
498,behind,~の後ろに ,The cat is hiding behind the sofa.,猫がソファーの後ろに隠れています。
499,neither,どちらも〜ない ,Neither of them could solve the problem.,彼らのどちらもその問題を解決できませんでした。
500,none,誰も〜ない ,None of my friends came to the party.,私の友達は誰もパーティーに来ませんでした。
